Company name,Ticker,Exchange,Sector,Industry,Date--Current fiscal year,Date--Latest Quarterly EPS,EPS Est Q0,EPS Est Q0-High,EPS Est Q0-Low,EPS Est Q0-Last month,EPS Est Q0-3 Months Ago,EPS Est Q0-Number,EPS Est Q0-Revisions up,EPS Est Q0-Revisions down,EPS Est Q0-Std. dev.,EPS Est Q1,EPS Est Q1-High,EPS Est Q1-Low,EPS Est Q1-Last month,EPS Est Q1-3 Months Ago,EPS Est Q1-Number,EPS Est Q1-Revisions up,EPS Est Q1-Revisions down,EPS Est Q1-Std. dev.,EPS Est Y0,EPS Est Y0-High,EPS Est Y0-Low,EPS Est Y0-Last month,EPS Est Y0-3 Months Ago,EPS Est Y0-Number,EPS Est Y0-Revisions up,EPS Est Y0-Revisions down,EPS Est Y0-Std. dev.,EPS Est Y1,EPS Est Y1-High,EPS Est Y1-Low,EPS Est Y1-Last month,EPS Est Y1-3 Months Ago,EPS Est Y1-Number,EPS Est Y1-Revisions up,EPS Est Y1-Revisions down,EPS Est Y1-Std. dev.,EPS Est Y2,EPS Est Y2-High,EPS Est Y2-Low,EPS Est Y2-Last month,EPS Est Y2-3 Months Ago,EPS Est Y2-Number,EPS Est Y2-Revisions up,EPS Est Y2-Revisions down,EPS Est Y2-Std. dev.,EPS Growth Est,EPS Growth Est-High,EPS Growth Est-Low,EPS Growth Est-Last month,EPS Growth Est-Number,EPS Growth Est-Revisions up,EPS Growth Est-Revisions down,EPS Growth Est-Std. dev.,Quarterly Surprise-Date,Quarterly Surprise-EPS,Quarterly Surprise-Difference,Quarterly Surprise-Est,Quarterly Surprise-Percent,Quarterly Surprise-Std. dev.,Quarterly Surprise-SUE Q1,Qtrly Surprise-Prior Qtr-Date,Qtrly Surprise-Prior Qtr-EPS,Qtrly Surprise-Prior Qtr-Difference,Qtrly Surprise-Prior Qtr-Est,Qtrly Surprise-Prior Qtr-Percent,Qtrly Surprise-Prior Qtr-Std. dev.,Qtrly Surprise-Prior Qtr-SUE,,
"Nobility Homes, Inc.",NOBH,Over the counter,Real Estate,"Real Estate Rental, Development & Operations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Noble Holding Corporation PLC,NEBLQ,Over the counter,Energy,Oil & Gas - Drilling,12/31/2020,9/30/2020,-0.62,###############################################################################################################################################################################################################################################################,-0.62,-0.524,-0.524,1,0,0,NA,-0.633,-0.405,-0.86,###############################################################################################################################################################################################################################################################,-0.525,2,0,0,0.322,-2.23,-2.23,-2.23,-2.096,-2.096,1,0,0,NA,-2.103,-1.619,-2.5,-1.794,-1.794,3,0,0,0.447,-1.68,-1.68,-1.68,-1.092,-1.092,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/4/2020,0,0.479,-0.479,100,0.059,8.1,8/5/2020,###############################################################################################################################################################################################################################################################,0.134,-0.484,27.7,0.057,2.4,,
Noble Midstream Partners LP,NBLX,Nasdaq,Energy,Oil & Gas - Transportation Services,12/31/2020,9/30/2020,0.575,1/0/1900,0.51,0.565,0.58,6,1,1,0.059,0.518,0.6,0.39,1/0/1900,0.528,5,0,1,0.078,2.33,2.36,2.3,2.336,2.594,2,1,1,0.042,2.095,2.48,1.72,2.101,2.122,6,1,1,0.286,2.129,2.46,1.77,2.127,2.14,6,1,1,0.254,-13.26,-13.26,-13.26,-12.752,1,0,1,NA,11/2/2020,0.4,-0.148,0.548,-27,0.079,-1.9,8/3/2020,1/0/1900,-0.006,0.536,-1.1,0.075,-0.1,,
"Noble Roman's, Inc.",NROM,Over the counter,Consumer Cyclicals,Restaurants & Bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Noble Vici Group Inc,NVGI,Over the counter,Technology,Software,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Nocopi Technologies, Inc.",NNUP,Over the counter,Industrials,Business Support Supplies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nokia Oyj (ADR),NOK,New York,Technology,Communications & Networking,12/31/2021,12/31/2020,0.018,1/0/1900,-0.01,0.021,0.019,5,0,1,0.018,0.037,0.05,0.03,1/0/1900,0.048,5,0,1,0.008,0.239,0.275,0.179,0.249,0.248,11,2,1,0.032,0.282,0.34,0.227,0.293,0.3,7,2,0,0.034,0.338,0.398,0.287,NA,NA,3,0,0,0.056,12.031,20,4.063,12.031,2,0,0,11.269,2/4/2021,0.167,0.037,0.13,28.5,0.019,1.9,10/29/2020,1/0/1900,-0.009,0.069,-13,0.007,-1.3,,
Nomad Foods Ltd,NOMD,New York,Consumer Non-Cyclicals,Food Processing,12/31/2020,9/30/2020,0.435,1/0/1900,0.419,0.431,0.42,13,3,0,0.008,0.482,0.514,0.449,1/0/1900,0.468,11,3,0,0.022,1.602,1.615,1.591,1.598,1.586,13,3,0,0.006,1.776,1.854,1.687,1.756,1.732,13,2,0,0.049,1.903,1.986,1.806,1.876,1.851,9,1,0,0.066,10.945,11.962,9.928,10.945,2,0,0,1.438,11/5/2020,0.359,0.026,0.333,7.8,0.01,3.3,8/6/2020,1/0/1900,0.051,0.355,14.6,0.018,3.5,,
Nomura Holdings Inc (ADR),NMR,New York,Financials,Investment Banking & Brokerage Services,3/31/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.004,1.018,0.99,1.004,1.004,2,0,0,0.02,0.614,0.629,0.6,0.614,0.614,2,0,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2021,NA,0,NA,NA,NA,0,10/28/2020,NA,0,NA,NA,NA,0,,
Non-Invasive Monitoring System,NIMU,Over the counter,Financials,Investment Holding Companies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Noodles & Co,NDLS,Nasdaq,Consumer Cyclicals,Restaurants & Bars,12/31/2020,9/30/2020,0.034,1/0/1900,-0.01,0.034,0.042,5,0,0,0.027,0.01,0.02,0,1/0/1900,0.01,3,0,0,0.01,-0.225,-0.2,-0.27,-0.223,-0.213,4,0,1,0.031,0.258,0.35,0.18,0.264,0.254,5,0,1,0.067,0.393,0.47,0.3,0.398,0.377,4,0,1,0.085,NA,NA,NA,NA,NA,NA,NA,NA,10/28/2020,0.01,0.008,0.002,400,0.008,1,8/6/2020,###############################################################################################################################################################################################################################################################,0.03,-0.21,14.3,0.056,0.5,,
Nordic American Tanker Ltd,NAT,New York,Energy,Oil & Gas - Transportation Services,12/31/2020,9/30/2020,-0.165,###############################################################################################################################################################################################################################################################,-0.21,-0.141,-0.094,6,0,3,0.041,-0.112,0.06,-0.205,###############################################################################################################################################################################################################################################################,0.07,3,0,1,0.149,0.367,0.44,0.32,0.388,0.451,5,0,2,0.046,-0.159,0.32,-0.65,0.062,0.3,6,0,3,0.426,0.128,0.7,-0.24,0.45,0.545,5,0,0,0.424,NA,NA,NA,NA,NA,NA,NA,NA,11/16/2020,-0.07,-0.027,-0.043,-62.8,0.026,-1,8/17/2020,1/0/1900,0.052,0.278,18.7,0.011,4.7,,
Nordson Corporation,NDSN,Nasdaq,Industrials,Industrial Machinery & Equipment,10/31/2021,10/31/2020,1.058,1/1/1900,1.04,1.058,1.082,9,0,0,0.013,1.719,1.964,1.58,1/1/1900,1.734,9,1,0,0.12,6.467,7.006,6.2,6.435,6.422,10,1,0,0.221,7.211,7.676,6.61,7.171,7.128,8,1,0,0.354,7.932,8.264,7.6,7.768,7.927,2,1,0,0.47,13,13,13,13,1,0,0,NA,12/15/2020,1.59,0.058,1.532,3.8,0.037,1.6,8/19/2020,1/1/1900,0.075,1.345,5.6,0.137,0.5,,
"Nordstrom, Inc.",JWN,New York,Consumer Cyclicals,Retailers - Department Stores,1/31/2021,10/31/2020,0.139,1/0/1900,0.04,0.245,0.636,20,0,6,0.098,-0.35,0.01,-0.85,###############################################################################################################################################################################################################################################################,-0.33,16,1,4,0.238,-4.395,-4.17,-4.54,-4.061,-4.329,13,0,7,0.121,1.406,2.251,0.5,1.443,1.466,23,4,6,0.385,1.792,2.854,0.65,1.62,1.456,14,2,2,0.584,-5.522,6,-17.2,-5.362,3,0,2,11.601,11/24/2020,0.34,0.399,-0.059,676.3,0.375,1.1,8/25/2020,###############################################################################################################################################################################################################################################################,-0.137,-1.483,-9.2,0.296,-0.5,,
Norfolk Southern Corp.,NSC,New York,Industrials,Freight & Logistics - Ground,12/31/2021,12/31/2020,2.618,1/2/1900,2.47,2.6,2.596,19,11,7,0.125,2.816,3.03,2.65,1/2/1900,2.787,19,11,6,0.123,11.337,12.85,10.64,11.197,11.187,24,17,6,0.393,12.82,13.9,11.96,12.746,12.745,23,9,8,0.454,14.055,14.499,13.57,13.73,13.73,5,1,1,0.438,14.444,15.433,13.7,7.288,3,3,0,0.892,1/27/2021,2.63,0.151,2.479,6.1,0.048,3.1,10/28/2020,1/2/1900,0.127,2.383,5.3,0.057,2.2,,
Norris Industries Inc,NRIS,Over the counter,Energy,Oil & Gas - Exploration and Production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Norsk Hydro ASA (ADR),NHYDY,Over the counter,Basic Materials,Metals & Mining - Aluminum,12/31/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.13,0.13,0.14,0.1,1,0,1,NA,0.39,0.39,0.39,0.34,0.18,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2020,NA,0,NA,NA,NA,0,7/22/2020,NA,0,NA,NA,NA,0,,
Nortech Systems Incorporated,NSYS,Nasdaq,Technology,Semiconductors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
North American Construction Gr,NOA,New York,Energy,Oil & Gas - Related Services and Equipment,12/31/2020,9/30/2020,0.201,1/0/1900,0.148,0.201,0.187,4,0,0,0.039,0.324,0.343,0.304,1/0/1900,NA,2,0,0,0.027,1.298,1.318,1.279,1.298,1.298,4,0,0,0.019,1.363,1.404,1.279,1.365,1.382,6,0,1,0.047,1.69,2.019,1.442,1.606,1.606,3,0,0,0.297,NA,NA,NA,NA,NA,NA,NA,NA,10/28/2020,0.203,0.005,0.197,3,0.05,0.1,7/29/2020,1/0/1900,0.208,0.143,145.5,0.019,8.3,,
North Bay Resources Inc,NBRI,Over the counter,Basic Materials,Non-Gold Precious Metals & Minerals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
North European Oil Royalty Tru,NRT,New York,Energy,Oil & Gas - Exploration and Production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Northeast Bank,NBN,Nasdaq,Financials,Banks,6/30/2022,12/31/2020,0.8,1/0/1900,0.8,0.8,0.8,1,0,0,NA,0.8,0.8,0.8,1/0/1900,0.8,1,0,0,NA,4.05,4.05,4.05,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/27/2021,0.98,0.21,0.77,27.3,NA,0,10/29/2020,1/0/1900,0.24,0.7,34.3,NA,0,,
Northeast Indiana Bancorp Inc,NIDB,Over the counter,Financials,Banks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Northern Dynasty Minerals Ltd,NAK,American,Basic Materials,Metals & Mining - Diversified,12/31/2020,9/30/2020,-0.04,###############################################################################################################################################################################################################################################################,-0.04,-0.04,NA,1,0,0,NA,-0.02,-0.02,-0.02,###############################################################################################################################################################################################################################################################,NA,1,0,0,NA,-0.14,-0.14,-0.14,-0.14,-0.11,2,0,0,0,-0.13,-0.12,-0.14,-0.13,-0.11,2,0,0,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/16/2020,0.05,9999.05,NA,NA,NA,-1,8/13/2020,###############################################################################################################################################################################################################################################################,-0.02,-0.01,-200,NA,0,,
Northern Minerals & Exploratio,NMEX,Over the counter,Basic Materials,Metals & Mining - Diversified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Northern Oil & Gas, Inc.",NOG,American,Energy,Oil & Gas - Exploration and Production,12/31/2020,9/30/2020,0.646,1/0/1900,0.42,0.632,0.491,8,3,1,0.13,0.645,1.02,0.377,1/0/1900,0.494,6,2,2,0.233,1.902,2.15,1.57,1.878,1.674,8,3,1,0.236,2.531,3.51,1.321,2.562,1.893,8,2,2,0.738,1.66,3.15,-0.62,1.199,0.345,9,3,1,1.25,NA,NA,NA,NA,NA,NA,NA,NA,11/6/2020,0.51,0.134,0.376,35.6,0.124,1.1,8/7/2020,1/0/1900,-0.108,0.308,-35.1,0.166,-0.7,,
Northern Technologies Internat,NTIC,Nasdaq,Industrials,Industrial Machinery & Equipment,8/31/2021,11/30/2020,0.08,1/0/1900,0.08,0.06,0.06,1,1,0,NA,0.12,0.12,0.12,1/0/1900,0.1,1,1,0,NA,0.48,0.48,0.48,0.36,0.36,1,1,0,NA,0.95,0.95,0.95,0.53,0.53,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/7/2021,0.13,0.08,0.05,160,NA,0,11/12/2020,###############################################################################################################################################################################################################################################################,-0.14,-0.05,-280,NA,0,,
Northern Trust Corporation,NTRS,Nasdaq,Financials,Investment Management & Fund Operators,12/31/2021,12/31/2020,1.481,1/1/1900,1.379,1.403,1.379,17,12,2,0.068,1.676,1.82,1.529,1/1/1900,1.576,17,13,0,0.075,6.434,6.95,5.99,6.164,6.091,18,15,1,0.25,7.088,8.17,6.4,6.766,6.635,18,11,3,0.457,8.162,9.29,6.85,9.39,NA,6,0,2,0.964,6.835,16.1,-2.43,-2.43,2,2,0,13.103,1/21/2021,1.49,0.003,1.487,0.2,0.066,0,10/21/2020,1/1/1900,-0.062,1.382,-4.5,0.069,-0.9,,
Northfield Bancorp Inc,NFBK,Nasdaq,Financials,Banks,12/31/2021,12/31/2020,0.244,1/0/1900,0.22,0.213,0.205,3,2,0,0.025,0.244,0.27,0.22,1/0/1900,0.22,3,2,1,0.025,0.955,1.05,0.895,0.88,0.86,3,2,0,0.083,1.07,1.12,1,1.004,0.973,4,4,0,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/27/2021,0.29,0.09,0.2,45,0.016,5.6,10/28/2020,1/0/1900,0.07,0.16,43.8,0.048,1.5,,
"Northrim BanCorp, Inc.",NRIM,Nasdaq,Financials,Banks,12/31/2021,12/31/2020,1.18,1/1/1900,1.18,1.18,1.18,1,0,0,NA,1.01,1.01,1.01,1/1/1900,1.01,1,0,0,NA,3.5,3.5,3.5,3.5,3.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/1/2021,1.59,0.14,1.45,9.7,NA,0,10/26/2020,1/1/1900,0.93,0.91,102.2,NA,0,,
Northrop Grumman Corporation,NOC,New York,Industrials,Aerospace & Defense,12/31/2021,12/31/2020,5.472,1/5/1900,5.193,5.715,5.69,15,0,10,0.136,5.771,6.05,5.55,1/5/1900,5.972,15,1,9,0.15,23.595,24.09,22.89,24.241,24.236,18,2,16,0.291,25.131,27.16,23.1,26.499,26.483,18,1,13,0.895,28.556,30.97,26.69,28.651,28.318,11,2,4,1.219,6.375,6.375,6.375,7.622,1,0,2,NA,1/28/2021,6.59,0.831,5.759,14.4,0.146,5.7,10/22/2020,1/5/1900,0.266,5.624,4.7,0.106,2.5,,
"Northstar Electronics, Inc.",NEIK,Over the counter,Technology,Communications & Networking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Northway Financial, Inc.",NWYF,Over the counter,Financials,Banks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Northwest Bancshares, Inc.",NWBI,Nasdaq,Financials,Banks,12/31/2021,12/31/2020,0.28,1/0/1900,0.24,0.25,0.246,6,5,1,0.023,0.267,0.32,0.25,1/0/1900,0.2,6,4,2,0.027,1.022,1.2,0.94,0.924,0.858,6,4,2,0.095,1.012,1.2,0.83,1,0.955,6,2,2,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/25/2021,0.28,0.058,0.222,26.1,0.025,2.3,10/26/2020,1/0/1900,0.047,0.253,18.6,0.043,1.1,,
"Northwest Biotherapeutics, Inc",NWBO,Over the counter,Healthcare,Biotechnology & Medical Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Northwest Indiana Bancorp,NWIN,Over the counter,Financials,Banks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Northwest Natural Holding Co,NWN,New York,Utilities,Utilities - Natural Gas,12/31/2020,9/30/2020,1.493,1/1/1900,1.46,1.485,1.494,7,2,1,0.019,1.785,1.8,1.77,1/1/1900,1.79,4,1,0,0.013,2.295,2.32,2.27,2.277,2.274,8,4,0,0.017,2.544,2.58,2.44,2.548,2.551,8,3,2,0.044,2.622,2.68,2.56,2.619,2.627,7,3,1,0.048,3.1,3.1,3.1,3.1,1,0,0,NA,11/5/2020,-0.59,0.098,-0.688,14.2,0.048,2,8/7/2020,###############################################################################################################################################################################################################################################################,-0.144,-0.026,-553.8,0.046,-3.1,,
Northwest Pipe Company,NWPX,Nasdaq,Basic Materials,Metals & Mining - Iron & Steel,12/31/2020,9/30/2020,0.515,1/0/1900,0.51,0.515,0.515,2,0,0,0.007,0.445,0.47,0.42,1/0/1900,0.445,2,0,0,0.035,2.08,2.08,2.08,2.08,2.08,1,0,0,NA,2.245,2.29,2.2,2.245,2.245,2,0,0,0.064,2.66,2.66,2.66,2.66,2.66,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/4/2020,0.78,0.07,0.71,9.9,0.141,0.5,8/4/2020,1/0/1900,-0.094,0.544,-17.3,0.034,-2.8,,
NorthWestern Corp,NWE,Nasdaq,Utilities,Utilities - Electric,12/31/2020,9/30/2020,1.287,1/1/1900,1.19,1.294,1.285,8,0,2,0.048,1.087,1.15,1.03,1/1/1900,1.145,6,0,1,0.042,3.34,3.37,3.3,3.34,3.335,5,0,1,0.027,3.515,3.55,3.47,3.531,3.536,8,0,1,0.027,3.746,3.83,3.65,3.763,3.768,6,0,2,0.078,3.201,3.7,2.703,2.703,2,1,0,0.705,10/21/2020,0.58,-0.018,0.598,-3,0.045,-0.4,7/29/2020,1/0/1900,-0.082,0.512,-16,0.043,-1.9,,
NortonLifeLock Inc,NLOK,Nasdaq,Technology,Software,3/31/2021,12/31/2020,0.38,1/0/1900,0.36,0.373,0.372,11,6,1,0.009,0.384,0.4,0.36,1/0/1900,0.378,11,4,2,0.012,1.422,1.44,1.39,1.405,1.403,14,7,1,0.017,1.589,1.66,1.48,1.563,1.56,14,6,1,0.057,1.719,1.79,1.495,1.689,1.713,8,3,2,0.095,21.9,21.9,21.9,22.9,1,1,1,NA,2/4/2021,0.38,0.008,0.372,2.2,0.007,1.1,11/5/2020,1/0/1900,0.031,0.329,9.4,0.015,2.1,,
Norwegian Cruise Line Holdings,NCLH,New York,Consumer Cyclicals,"Hotels, Motels & Cruise Lines",12/31/2020,9/30/2020,-2.173,###############################################################################################################################################################################################################################################################,-2.67,-2.208,-2.256,11,2,3,0.27,-1.927,-1.183,-2.4,###############################################################################################################################################################################################################################################################,-2.096,8,2,1,0.459,-8.472,-7.901,-9.01,-8.498,-8.549,16,2,3,0.31,-5.423,-2.631,-7.36,-5.268,-5.548,16,1,4,1.323,0.674,2.22,-1.39,0.611,0.675,13,2,3,0.921,-51.351,-24.132,-78.57,-40.616,2,0,0,38.493,11/9/2020,-2.35,-0.105,-2.245,-4.7,0.158,-0.7,8/6/2020,###############################################################################################################################################################################################################################################################,-0.517,-2.263,-22.8,0.196,-2.6,,
Norwood Financial Corporation,NWFL,Nasdaq,Financials,Banks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Norzinc Ltd,NORZF,Over the counter,Basic Materials,Metals & Mining - Specialty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Notox Technologies Corp,NTOX,Over the counter,Consumer Non-Cyclicals,Personal Products,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nov Inc,NOV,New York,Energy,Oil & Gas - Related Services and Equipment,12/31/2021,12/31/2020,-0.134,###############################################################################################################################################################################################################################################################,-0.223,-0.112,-0.116,19,1,12,0.041,-0.089,-0.02,-0.13,###############################################################################################################################################################################################################################################################,-0.087,19,2,9,0.031,-0.299,-0.07,-0.495,-0.262,-0.267,22,4,12,0.115,0.154,0.71,-0.23,0.135,0.109,19,5,5,0.254,0.549,0.98,0.14,0.313,0.225,4,2,0,0.344,NA,NA,NA,NA,NA,NA,NA,NA,2/4/2021,-0.29,-0.104,-0.186,-55.9,0.144,-0.7,10/26/2020,1/0/1900,0.122,-0.102,119.6,0.041,3,,
